Date,Adj Close,Close,High,Low,Open,Volume,Return,Previous_Return,MA_5,MA_20,MA_50,Volatility_10,Volume_Change,Target
2020-01-31,11962.099609375,11962.099609375,12103.5498046875,11945.849609375,12100.400390625,771300,-0.006123414854723341,-0.0077249841553650445,12060.43984375,12175.957373046875,12131.575,0.006610811423877685,0.4333766957814533,0.0
2020-02-03,11707.900390625,11707.900390625,11749.849609375,11614.5,11627.4501953125,669800,-0.021250384719316173,-0.006123414854723341,11978.219921875,12161.69990234375,12127.445,0.008540755192327587,-0.13159600674186434,1.0
2020-02-04,11979.650390625,11979.650390625,11986.150390625,11783.400390625,11786.25,560400,0.02321082268667074,-0.021250384719316173,11962.9900390625,12158.034912109375,12125.5630078125,0.012180731346617589,-0.16333233801134672,1.0
2020-02-05,12089.150390625,12089.150390625,12098.150390625,11953.349609375,12005.849609375,758000,0.009140500467834434,0.02321082268667074,11954.9201171875,12161.224951171875,12126.59201171875,0.012537891141671255,0.35260528194147045,1.0
2020-02-06,12137.9501953125,12137.9501953125,12160.599609375,12084.650390625,12120.0,565100,0.004036661230167438,0.009140500467834434,11975.3501953125,12157.32744140625,12127.33701171875,0.012443459160582527,-0.25448548812664906,0.0
2020-02-07,12098.349609375,12098.349609375,12154.7001953125,12073.9501953125,12151.150390625,473500,-0.0032625431230384194,0.004036661230167438,12002.6001953125,12149.404931640625,12126.28099609375,0.012294460692054546,-0.1620952043886038,0.0
2020-02-10,12031.5,12031.5,12103.5498046875,11990.75,12102.349609375,524700,-0.005525514763038308,-0.0032625431230384194,12067.3201171875,12134.50244140625,12125.79,0.011966261166115643,0.10813093980992616,1.0
2020-02-11,12107.900390625,12107.900390625,12172.2998046875,12099.0,12108.400390625,480000,0.006350030388978967,-0.005525514763038308,12092.9701171875,12121.782470703125,12126.98400390625,0.012035788519519027,-0.08519153802172674,1.0
2020-02-12,12201.2001953125,12201.2001953125,12231.75,12144.2998046875,12151.0,411700,0.0077056964194832656,0.006350030388978967,12115.380078125,12114.677490234375,12131.12400390625,0.012128538444946558,-0.1422916666666667,0.0
2020-02-13,12174.650390625,12174.650390625,12225.650390625,12139.7998046875,12219.5498046875,501200,-0.0021759994314084485,0.0077056964194832656,12122.7201171875,12105.635009765625,12133.7530078125,0.011825662676514739,0.21739130434782616,0.0
2020-02-14,12113.4501953125,12113.4501953125,12246.7001953125,12091.2001953125,12190.150390625,622800,-0.005026854435148831,-0.0021759994314084485,12125.740234375,12093.6900390625,12135.65400390625,0.01175497308975472,0.2426177174780526,0.0
2020-02-17,12045.7998046875,12045.7998046875,12159.599609375,12037.0,12131.7998046875,0,-0.00558473346026378,-0.005026854435148831,12128.6001953125,12084.7525390625,12138.14,0.009173141835901188,-1.0,0.0
2020-02-18,11992.5,11992.5,12030.75,11908.0498046875,12028.25,676900,-0.004424762618648104,-0.00558473346026378,12105.5201171875,12075.88505859375,12139.24,0.005975316237060312,inf,1.0
2020-02-19,12125.900390625,12125.900390625,12134.7001953125,12042.099609375,12090.599609375,513600,0.011123651500938081,-0.004424762618648104,12090.46015625,12076.83505859375,12144.62201171875,0.00633021311946807,-0.2412468606884326,0.0
2020-02-20,12080.849609375,12080.849609375,12152.0,12071.4501953125,12119.0,502600,-0.003715252459506435,0.011123651500938081,12071.7,12071.86005859375,12148.03599609375,0.006299286498380945,-0.02141744548286606,0.0
2020-02-24,11829.400390625,11829.400390625,12012.5498046875,11813.400390625,12012.5498046875,490800,-0.02081386879900149,-0.003715252459506435,12014.8900390625,12050.917578125,12145.1880078125,0.009024494965669547,-0.02347791484281736,0.0
